report_period,federal_district,region,административный_персонал,доля_людей_питающихся_в_столовой,доход_банка,количество_клиентов,общее_количество_людей_в_вузе,объем_транзакций,средний_тариф_банка,средняя_стоимость_обеда,студенты
Январь 2022,Сибирский ФО,Красноярский край,1373,66.11,172941.73,19544,29563,5116619.2,3.38,261.8,28190
Февраль 2022,Сибирский ФО,Красноярский край,1356,67.41,99476.94,19583,29051,5154245.6,1.93,263.2,27695
Март 2022,Сибирский ФО,Красноярский край,1448,67.09,137484.9,19782,29486,5499396.0,2.5,278.0,28038
Апрель 2022,Сибирский ФО,Красноярский край,1431,67.28,125045.43,19405,28843,4923048.5,2.54,253.7,27412
Май 2022,Сибирский ФО,Красноярский край,1424,57.49,138065.29,16491,28686,4314540.33,3.2,261.63,27262
Июнь 2022,Сибирский ФО,Красноярский край,1318,26.37,53131.85,7655,29031,2091805.3,2.54,273.26,27713
Июль 2022,Сибирский ФО,Красноярский край,1346,13.32,29888.1,3863,29003,942842.41,3.17,244.07,27657
Август 2022,Сибирский ФО,Красноярский край,1367,16.21,24753.28,4726,29157,1316663.6,1.88,278.6,27790
Сентябрь 2022,Сибирский ФО,Красноярский край,1425,73.51,202142.83,21483,29225,5876244.99,3.44,273.53,27800
Октябрь 2022,Сибирский ФО,Красноярский край,1356,74.86,181979.23,21913,29273,6005915.04,3.03,274.08,27917
Ноябрь 2022,Сибирский ФО,Красноярский край,1473,70.98,154854.33,21305,30016,5821591.25,2.66,273.25,28543
Декабрь 2022,Сибирский ФО,Красноярский край,1322,48.47,105065.61,14007,28900,3549513.87,2.96,253.41,27578
Январь 2023,Сибирский ФО,Красноярский край,1562,67.97,180089.33,22446,33024,6645362.76,2.71,296.06,31462
Февраль 2023,Сибирский ФО,Красноярский край,1538,73.59,95677.88,23704,32211,6294597.2,1.52,265.55,30673
Март 2023,Сибирский ФО,Красноярский край,1510,68.61,156487.79,22672,33045,6234573.28,2.51,274.99,31535
Апрель 2023,Сибирский ФО,Красноярский край,1587,70.94,133887.19,23353,32920,6227310.98,2.15,266.66,31333
Май 2023,Сибирский ФО,Красноярский край,1463,59.7,189366.25,19047,31905,5755812.93,3.29,302.19,30442
Июнь 2023,Сибирский ФО,Красноярский край,1599,25.53,40316.56,8341,32675,2239808.73,1.8,268.53,31076
Июль 2023,Сибирский ФО,Красноярский край,1474,12.81,24974.23,4097,31983,1206484.56,2.07,294.48,30509
Август 2023,Сибирский ФО,Красноярский край,1585,17.32,41221.93,5538,31978,1675688.04,2.46,302.58,30393
Сентябрь 2023,Сибирский ФО,Красноярский край,1498,71.27,224619.48,23115,32434,6587081.55,3.41,284.97,30936
Октябрь 2023,Сибирский ФО,Красноярский край,1569,70.7,207212.24,23354,33033,6495681.56,3.19,278.14,31464
Ноябрь 2023,Сибирский ФО,Красноярский край,1439,66.88,124051.1,21049,31474,5562829.72,2.23,264.28,30035
Декабрь 2023,Сибирский ФО,Красноярский край,1576,47.41,152227.72,15146,31948,4517143.04,3.37,298.24,30372
Январь 2024,Сибирский ФО,Красноярский край,1649,64.34,210904.31,23298,36212,6825382.08,3.09,292.96,34563
Февраль 2024,Сибирский ФО,Красноярский край,1755,68.13,153724.85,24209,35534,7019399.55,2.19,289.95,33779
Март 2024,Сибирский ФО,Красноярский край,1747,71.48,196119.8,25738,36008,7751770.84,2.53,301.18,34261
Апрель 2024,Сибирский ФО,Красноярский край,1599,66.95,183802.25,23226,34692,7595134.26,2.42,327.01,33093
Май 2024,Сибирский ФО,Красноярский край,1609,54.27,162280.43,18644,34355,5519742.64,2.94,296.06,32746
Июнь 2024,Сибирский ФО,Красноярский край,1788,27.36,94149.41,9941,36337,3257765.11,2.89,327.71,34549
Июль 2024,Сибирский ФО,Красноярский край,1781,13.9,39243.76,4990,35904,1588816.0,2.47,318.4,34123
Август 2024,Сибирский ФО,Красноярский край,1577,16.05,44071.15,5487,34190,1695044.04,2.6,308.92,32613
Сентябрь 2024,Сибирский ФО,Красноярский край,1684,74.99,138865.82,26230,34979,7714767.6,1.8,294.12,33295
Октябрь 2024,Сибирский ФО,Красноярский край,1670,71.86,236950.92,24999,34789,7794438.21,3.04,311.79,33119
Ноябрь 2024,Сибирский ФО,Красноярский край,1706,67.67,146674.24,23251,34360,7560527.67,1.94,325.17,32654
Ноябрь 2023,Сибирский ФО,Иркутская обл.,1226,73.1,187483.42,19618,26838,5786525.28,3.24,294.96,25612
Декабрь 2024,Сибирский ФО,Красноярский край,1596,47.15,135095.47,16542,35085,5360931.36,2.52,324.08,33489
Январь 2022,Сибирский ФО,Иркутская обл.,1222,63.99,84161.15,15943,24915,4250563.23,1.98,266.61,23693
Февраль 2022,Сибирский ФО,Иркутская обл.,1218,68.35,143314.77,17272,25270,4342871.68,3.3,251.44,24052
Март 2022,Сибирский ФО,Иркутская обл.,1242,66.36,147045.07,17024,25655,4538428.16,3.24,266.59,24413
Апрель 2022,Сибирский ФО,Иркутская обл.,1198,68.96,137316.27,17035,24704,4401162.6,3.12,258.36,23506
Май 2022,Сибирский ФО,Иркутская обл.,1166,58.71,71926.79,14793,25197,3491591.79,2.06,236.03,24031
Июнь 2022,Сибирский ФО,Иркутская обл.,1252,27.38,51847.52,7003,25579,1745707.84,2.97,249.28,24327
Июль 2022,Сибирский ФО,Иркутская обл.,1167,13.79,19253.55,3486,25281,815828.58,2.36,234.03,24114
Август 2022,Сибирский ФО,Иркутская обл.,1231,16.85,26041.2,4341,25765,1013276.22,2.57,233.42,24534
Сентябрь 2022,Сибирский ФО,Иркутская обл.,1153,75.41,82048.4,18627,24702,4942674.45,1.66,265.35,23549
Октябрь 2022,Сибирский ФО,Иркутская обл.,1261,69.87,119892.65,17847,25544,4251512.34,2.82,238.22,24283
Декабрь 2022,Сибирский ФО,Иркутская обл.,1133,46.12,78864.46,11268,24432,2738349.36,2.88,243.02,23299
Январь 2023,Сибирский ФО,Иркутская обл.,1252,66.61,148756.75,18213,27343,5448965.34,2.73,299.18,26091
Февраль 2023,Сибирский ФО,Иркутская обл.,1247,69.92,166970.35,18963,27121,5059707.66,3.3,266.82,25874
Март 2023,Сибирский ФО,Иркутская обл.,1308,66.23,169991.16,17943,27092,4870806.78,3.49,271.46,25784
Апрель 2023,Сибирский ФО,Иркутская обл.,1295,66.52,87618.94,18783,28237,5154055.2,1.7,274.4,26942
Июнь 2023,Сибирский ФО,Иркутская обл.,1268,25.57,40753.04,7045,27555,2089899.25,1.95,296.65,26287
Июль 2023,Сибирский ФО,Иркутская обл.,1308,12.82,29601.67,3466,27038,927952.18,3.19,267.73,25730
Август 2023,Сибирский ФО,Иркутская обл.,1396,17.34,46167.69,4899,28253,1386417.0,3.33,283.0,26857
Сентябрь 2023,Сибирский ФО,Иркутская обл.,1410,76.89,92536.39,21909,28494,5608265.82,1.65,255.98,27084
Октябрь 2023,Сибирский ФО,Иркутская обл.,1272,73.08,174533.4,20313,27796,5779251.63,3.02,284.51,26524
Декабрь 2023,Сибирский ФО,Иркутская обл.,1345,45.24,86565.14,12711,28097,3421546.98,2.53,269.18,26752
Январь 2024,Сибирский ФО,Иркутская обл.,1515,65.17,121472.25,20230,31043,6166104.0,1.97,304.8,29528
Февраль 2024,Сибирский ФО,Иркутская обл.,1489,71.1,156009.36,21421,30129,6582673.3,2.37,307.3,28640
Март 2024,Сибирский ФО,Иркутская обл.,1419,69.97,107611.27,20862,29816,6011802.54,1.79,288.17,28397
Апрель 2024,Сибирский ФО,Иркутская обл.,1451,69.22,140569.06,21494,31052,6303545.38,2.23,293.27,29601
Июнь 2024,Сибирский ФО,Иркутская обл.,1421,27.74,49253.5,8588,30959,2782683.76,1.77,324.02,29538
Июль 2024,Сибирский ФО,Иркутская обл.,1409,13.43,36127.58,4131,30760,1180639.8,3.06,285.8,29351
Август 2024,Сибирский ФО,Иркутская обл.,1436,17.45,33727.21,5262,30155,1568707.44,2.15,298.12,28719
Сентябрь 2024,Сибирский ФО,Иркутская обл.,1486,74.15,127719.35,22738,30665,6385967.3,2.0,280.85,29179
Октябрь 2024,Сибирский ФО,Иркутская обл.,1472,75.88,200954.37,23155,30516,6858511.0,2.93,296.2,29044
Декабрь 2024,Сибирский ФО,Иркутская обл.,1393,48.31,76121.87,14709,30448,4114695.66,1.85,279.74,29055
Январь 2022,Сибирский ФО,Кемеровская обл.,1086,65.53,88251.73,15224,23233,3771441.52,2.34,247.73,22147
Февраль 2022,Сибирский ФО,Кемеровская обл.,1071,73.61,125145.43,16682,22664,4227886.08,2.96,253.44,21593
Март 2022,Сибирский ФО,Кемеровская обл.,1123,67.75,109180.31,15541,22940,3844377.17,2.84,247.37,21817
Апрель 2022,Сибирский ФО,Кемеровская обл.,1178,65.97,59627.12,15599,23647,3922836.52,1.52,251.48,22469
Май 2022,Сибирский ФО,Кемеровская обл.,1124,55.58,68118.85,13040,23462,3511280.8,1.94,269.27,22338
Июнь 2022,Сибирский ФО,Кемеровская обл.,1089,27.77,56049.26,6561,23627,1615252.59,3.47,246.19,22538
Июль 2022,Сибирский ФО,Кемеровская обл.,1020,13.74,13292.41,3079,22412,738467.36,1.8,239.84,21392
Август 2022,Сибирский ФО,Кемеровская обл.,1107,16.91,20270.81,3989,23594,925607.56,2.19,232.04,22487
Сентябрь 2022,Сибирский ФО,Кемеровская обл.,1059,77.12,83154.77,17919,23236,4446779.04,1.87,248.16,22177
Октябрь 2022,Сибирский ФО,Кемеровская обл.,1117,72.38,126922.41,16694,23065,4188858.48,3.03,250.92,21948
Ноябрь 2022,Сибирский ФО,Кемеровская обл.,1117,70.65,73201.45,16369,23170,3893694.03,1.88,237.87,22053
Декабрь 2022,Сибирский ФО,Кемеровская обл.,1097,47.32,71885.24,11131,23524,2808017.37,2.56,252.27,22427
Январь 2023,Сибирский ФО,Кемеровская обл.,1272,69.07,139053.67,17968,26015,4729716.64,2.94,263.23,24743
Февраль 2023,Сибирский ФО,Кемеровская обл.,1184,71.81,73325.33,17970,25025,4670403.0,1.57,259.9,23841
Март 2023,Сибирский ФО,Кемеровская обл.,1238,71.11,136457.75,18064,25403,4754625.44,2.87,263.21,24165
Апрель 2023,Сибирский ФО,Кемеровская обл.,1203,65.27,94089.6,16463,25224,4417352.16,2.13,268.32,24021
Май 2023,Сибирский ФО,Кемеровская обл.,1294,54.1,108671.8,14059,25988,3995286.62,2.72,284.18,24694
Июнь 2023,Сибирский ФО,Кемеровская обл.,1231,26.36,52782.41,6734,25548,1969492.98,2.68,292.47,24317
Июль 2023,Сибирский ФО,Кемеровская обл.,1270,13.15,26577.47,3415,25977,891861.4,2.98,261.16,24707
Август 2023,Сибирский ФО,Кемеровская обл.,1189,17.38,27130.52,4337,24955,1216615.24,2.23,280.52,23766
Сентябрь 2023,Сибирский ФО,Кемеровская обл.,1252,76.62,92280.38,19259,25137,4961310.99,1.86,257.61,23885
Октябрь 2023,Сибирский ФО,Кемеровская обл.,1190,74.66,193731.75,19104,25588,5535192.96,3.5,289.74,24398
Ноябрь 2023,Сибирский ФО,Кемеровская обл.,1198,71.43,123547.77,18238,25533,4662179.94,2.65,255.63,24335
Декабрь 2023,Сибирский ФО,Кемеровская обл.,1193,46.47,86703.96,11784,25360,3211257.84,2.7,272.51,24167
Январь 2024,Сибирский ФО,Кемеровская обл.,1241,67.58,136715.99,18170,26887,5842563.5,2.34,321.55,25646
Февраль 2024,Сибирский ФО,Кемеровская обл.,1265,68.38,101896.89,18911,27657,5478327.59,1.86,289.69,26392
Март 2024,Сибирский ФО,Кемеровская обл.,1318,68.14,88795.49,19312,28342,5692018.88,1.56,294.74,27024
Апрель 2024,Сибирский ФО,Кемеровская обл.,1324,67.36,172450.38,18810,27925,6029733.6,2.86,320.56,26601
Октябрь 2024,Сибирский ФО,Кемеровская обл.,1321,75.33,228156.86,20866,27700,6632466.76,3.44,317.86,26379
Май 2024,Сибирский ФО,Кемеровская обл.,1298,59.3,82987.31,16240,27387,4939720.8,1.68,304.17,26089
Июнь 2024,Сибирский ФО,Кемеровская обл.,1319,28.04,50895.62,7554,26941,2085886.02,2.44,276.13,25622
Июль 2024,Сибирский ФО,Кемеровская обл.,1302,14.07,38859.26,3904,27747,1166944.64,3.33,298.91,26445
Август 2024,Сибирский ФО,Кемеровская обл.,1402,17.26,34401.83,4888,28324,1470163.76,2.34,300.77,26922
Сентябрь 2024,Сибирский ФО,Кемеровская обл.,1322,72.88,96516.54,19848,27235,6349772.16,1.52,319.92,25913
Ноябрь 2024,Сибирский ФО,Кемеровская обл.,1395,68.02,164823.84,19107,28091,5475875.13,3.01,286.59,26696
Декабрь 2024,Сибирский ФО,Кемеровская обл.,1341,47.84,75194.04,12979,27132,3632562.52,2.07,279.88,25791
Январь 2022,Южный ФО,Краснодарский край,1987,64.91,217712.34,28041,43200,7185225.84,3.03,256.24,41213
Февраль 2022,Южный ФО,Краснодарский край,2001,68.08,257088.43,30049,44138,7743627.3,3.32,257.7,42137
Март 2022,Южный ФО,Краснодарский край,2090,69.32,130227.92,31153,44942,8190435.23,1.59,262.91,42852
Апрель 2022,Южный ФО,Краснодарский край,2008,68.97,235928.54,30485,44201,8079744.4,2.92,265.04,42193
Май 2022,Южный ФО,Краснодарский край,1999,54.35,138684.78,23299,42870,5876473.78,2.36,252.22,40871
Июнь 2022,Южный ФО,Краснодарский край,2154,26.38,59116.82,11895,45093,3358910.1,1.76,282.38,42939
Июль 2022,Южный ФО,Краснодарский край,2216,13.28,30030.78,5988,45097,1668376.56,1.8,278.62,42881
Август 2022,Южный ФО,Краснодарский край,2006,16.94,33908.38,7318,43201,2042673.34,1.66,279.13,41195
Сентябрь 2022,Южный ФО,Краснодарский край,2075,73.28,240967.33,31632,43166,8196167.52,2.94,259.11,41091
Октябрь 2022,Южный ФО,Краснодарский край,2064,74.91,330538.17,33825,45155,9608667.75,3.44,284.07,43091
Ноябрь 2022,Южный ФО,Краснодарский край,2088,67.21,297095.45,29513,43912,8537225.51,3.48,289.27,41824
Декабрь 2022,Южный ФО,Краснодарский край,2105,48.59,112285.31,21786,44838,6135809.04,1.83,281.64,42733
Январь 2023,Южный ФО,Краснодарский край,2282,65.04,317037.7,31734,48792,9084174.84,3.49,286.26,46510
Февраль 2023,Южный ФО,Краснодарский край,2310,71.37,286684.38,33768,47315,9492860.16,3.02,281.12,45005
Март 2023,Южный ФО,Краснодарский край,2315,69.96,295326.94,33822,48345,10045134.0,2.94,297.0,46030
Апрель 2023,Южный ФО,Краснодарский край,2295,70.47,164796.79,33523,47571,9581208.63,1.72,285.81,45276
Май 2023,Южный ФО,Краснодарский край,2278,56.9,238275.72,26836,47164,8602011.44,2.77,320.54,44886
Июнь 2023,Южный ФО,Краснодарский край,2397,25.65,92153.08,12520,48813,3938166.0,2.34,314.55,46416
Июль 2023,Южный ФО,Краснодарский край,2179,13.16,52776.75,6237,47396,1884883.77,2.8,302.21,45217
Август 2023,Южный ФО,Краснодарский край,2345,16.25,55040.13,7701,47395,2312610.3,2.38,300.3,45050
Сентябрь 2023,Южный ФО,Краснодарский край,2381,74.94,234559.02,36453,48644,10661773.44,2.2,292.48,46263
Октябрь 2023,Южный ФО,Краснодарский край,2274,69.49,238010.01,33220,47806,9225194.0,2.58,277.7,45532
Ноябрь 2023,Южный ФО,Краснодарский край,2479,68.98,314108.97,34518,50041,10099966.8,3.11,292.6,47562
Декабрь 2023,Южный ФО,Краснодарский край,2272,48.33,169859.39,23284,48179,6434067.72,2.64,276.33,45907
Январь 2024,Южный ФО,Краснодарский край,2438,68.35,368458.95,35189,51484,11550437.36,3.19,328.24,49046
Февраль 2024,Южный ФО,Краснодарский край,2422,69.01,348019.09,36714,53201,11262753.78,3.09,306.77,50779
Март 2024,Южный ФО,Краснодарский край,2487,69.3,226946.34,37197,53676,11347316.82,2.0,305.06,51189
Апрель 2024,Южный ФО,Краснодарский край,2550,67.59,265646.53,34864,51583,11352415.68,2.34,325.62,49033
Май 2024,Южный ФО,Краснодарский край,2601,56.85,279395.66,29956,52694,10123031.08,2.76,337.93,50093
Июнь 2024,Южный ФО,Краснодарский край,2480,26.61,97994.08,13930,52351,4600661.1,2.13,330.27,49871
Июль 2024,Южный ФО,Краснодарский край,2358,12.74,30358.03,6542,51354,1971300.86,1.54,301.33,48996
Август 2024,Южный ФО,Краснодарский край,2596,16.44,83734.19,8641,52563,2907437.27,2.88,336.47,49967
Сентябрь 2024,Южный ФО,Краснодарский край,2538,74.7,199713.24,40035,53595,12030917.85,1.66,300.51,51057
Март 2023,Южный ФО,Ростовская обл.,1996,70.86,124612.7,28694,40494,7739919.56,1.61,269.74,38498
Октябрь 2024,Южный ФО,Краснодарский край,2605,72.57,330566.48,39409,54305,12912752.94,2.56,327.66,51700
Ноябрь 2024,Южный ФО,Краснодарский край,2437,73.02,245209.03,38371,52549,12838169.18,1.91,334.58,50112
Декабрь 2024,Южный ФО,Краснодарский край,2602,48.87,190593.58,25893,52984,8250804.45,2.31,318.65,50382
Январь 2022,Южный ФО,Ростовская обл.,1716,64.4,217530.42,24145,37493,6672712.2,3.26,276.36,35777
Февраль 2022,Южный ФО,Ростовская обл.,1869,67.77,138313.84,25838,38127,6617886.94,2.09,256.13,36258
Март 2022,Южный ФО,Ростовская обл.,1742,69.77,216415.45,25916,37146,6558043.8,3.3,253.05,35404
Апрель 2022,Южный ФО,Ростовская обл.,1721,70.74,214425.97,26755,37823,7123786.3,3.01,266.26,36102
Май 2022,Южный ФО,Ростовская обл.,1761,59.51,97207.1,22828,38360,6075443.92,1.6,266.14,36599
Июнь 2022,Южный ФО,Ростовская обл.,1915,26.81,49337.49,10350,38605,2556346.5,1.93,246.99,36690
Июль 2022,Южный ФО,Ростовская обл.,1785,13.76,40314.17,5189,37714,1279814.96,3.15,246.64,35929
Август 2022,Южный ФО,Ростовская обл.,1724,16.94,47760.74,6437,38000,1705740.63,2.8,264.99,36276
Сентябрь 2022,Южный ФО,Ростовская обл.,1751,72.4,216306.03,27620,38150,7210201.0,3.0,261.05,36399
Октябрь 2022,Южный ФО,Ростовская обл.,1711,69.48,122623.53,25922,37310,6488017.38,1.89,250.29,35599
Ноябрь 2022,Южный ФО,Ростовская обл.,1820,70.13,228548.98,26601,37931,6643865.76,3.44,249.76,36111
Декабрь 2022,Южный ФО,Ростовская обл.,1797,45.44,103478.45,17578,38685,4881059.04,2.12,277.68,36888
Январь 2023,Южный ФО,Ростовская обл.,2033,66.68,219416.7,27949,41916,7698831.54,2.85,275.46,39883
Февраль 2023,Южный ФО,Ростовская обл.,2005,73.2,259203.49,31254,42697,9425581.32,2.75,301.58,40692
Апрель 2023,Южный ФО,Ростовская обл.,1895,67.93,269637.35,27462,40427,7977436.38,3.38,290.49,38532
Май 2023,Южный ФО,Ростовская обл.,1875,55.22,154168.88,22475,40701,6318396.75,2.44,281.13,38826
Июнь 2023,Южный ФО,Ростовская обл.,1922,27.79,102213.82,11706,42126,3512502.36,2.91,300.06,40204
Июль 2023,Южный ФО,Ростовская обл.,1995,12.99,53769.03,5310,40883,1576804.5,3.41,296.95,38888
Август 2023,Южный ФО,Ростовская обл.,1975,15.94,44991.77,6495,40752,1956164.1,2.3,301.18,38777
Сентябрь 2023,Южный ФО,Ростовская обл.,1934,77.04,197091.59,31491,40877,9296773.02,2.12,295.22,38943
Октябрь 2023,Южный ФО,Ростовская обл.,2029,73.85,205033.01,30486,41282,9448525.98,2.17,309.93,39253
Ноябрь 2023,Южный ФО,Ростовская обл.,1861,69.67,126798.95,28106,40342,7502896.7,1.69,266.95,38481
Декабрь 2023,Южный ФО,Ростовская обл.,2068,48.26,111288.61,20362,42193,5428712.82,2.05,266.61,40125
Январь 2024,Южный ФО,Ростовская обл.,2039,63.88,257196.46,28723,44964,8778036.03,2.93,305.61,42925
Февраль 2024,Южный ФО,Ростовская обл.,2249,73.28,170752.16,33991,46386,10807098.54,1.58,317.94,44137
Март 2024,Южный ФО,Ростовская обл.,2273,71.87,176679.82,33357,46414,11182267.11,1.58,335.23,44141
Апрель 2024,Южный ФО,Ростовская обл.,2184,67.49,326146.49,31244,46295,9564413.28,3.41,306.12,44111
Май 2024,Южный ФО,Ростовская обл.,2231,54.54,232489.4,24830,45528,8244304.9,2.82,332.03,43297
Июнь 2024,Южный ФО,Ростовская обл.,2297,28.05,116733.45,13108,46733,4421721.64,2.64,337.33,44436
Июль 2024,Южный ФО,Ростовская обл.,2161,13.78,50344.53,6424,46622,1921546.88,2.62,299.12,44461
Август 2024,Южный ФО,Ростовская обл.,2193,16.29,58837.3,7523,46187,2325584.99,2.53,309.13,43994
Сентябрь 2024,Южный ФО,Ростовская обл.,2203,71.02,305917.5,31893,44908,9298404.15,3.29,291.55,42705
Октябрь 2024,Южный ФО,Ростовская обл.,2057,72.06,337311.04,31828,44170,10346964.52,3.26,325.09,42113
Ноябрь 2024,Южный ФО,Ростовская обл.,2059,72.49,315449.47,32651,45043,10693202.5,2.95,327.5,42984
Декабрь 2024,Южный ФО,Ростовская обл.,2202,45.62,147853.82,21101,46254,6212345.41,2.38,294.41,44052
Январь 2022,Южный ФО,Волгоградская обл.,1448,65.19,77632.24,19586,30045,5008531.92,1.55,255.72,28597
Февраль 2022,Южный ФО,Волгоградская обл.,1388,71.29,182676.01,20788,29161,5357067.6,3.41,257.7,27773
Март 2022,Южный ФО,Волгоградская обл.,1347,70.7,190615.84,20948,29630,5461772.04,3.49,260.73,28283
Апрель 2022,Южный ФО,Волгоградская обл.,1429,68.18,138234.58,20213,29647,5337242.65,2.59,264.05,28218
Май 2022,Южный ФО,Волгоградская обл.,1322,55.21,133563.11,16053,29077,4322430.78,3.09,269.26,27755
Июнь 2022,Южный ФО,Волгоградская обл.,1429,27.3,45619.51,8022,29386,1900812.9,2.4,236.95,27957
Июль 2022,Южный ФО,Волгоградская обл.,1419,13.04,27600.1,3818,29286,1007302.94,2.74,263.83,27867
Август 2022,Южный ФО,Волгоградская обл.,1349,17.5,32683.7,5069,28967,1201606.45,2.72,237.05,27618
Сентябрь 2022,Южный ФО,Волгоградская обл.,1466,71.92,187657.83,21672,30134,5635370.16,3.33,260.03,28668
Октябрь 2022,Южный ФО,Волгоградская обл.,1394,70.63,107886.1,20805,29457,5017957.95,2.15,241.19,28063
Ноябрь 2022,Южный ФО,Волгоградская обл.,1370,70.02,128013.84,20488,29261,5225054.64,2.45,255.03,27891
Декабрь 2022,Южный ФО,Волгоградская обл.,1434,48.3,95267.56,14493,30007,3888471.9,2.45,268.3,28573
Январь 2023,Южный ФО,Волгоградская обл.,1530,65.12,165076.17,21417,32889,5672720.79,2.91,264.87,31359
Февраль 2023,Южный ФО,Волгоградская обл.,1486,68.11,128203.05,22204,32601,6163608.36,2.08,277.59,31115
Март 2023,Южный ФО,Волгоградская обл.,1640,68.35,149314.81,22669,33167,6725892.3,2.22,296.7,31527
Апрель 2023,Южный ФО,Волгоградская обл.,1555,71.61,187048.67,23823,33268,6927728.4,2.7,290.8,31713
Май 2023,Южный ФО,Волгоградская обл.,1569,55.93,170231.75,17716,31676,5270332.84,3.23,297.49,30107
Июнь 2023,Южный ФО,Волгоградская обл.,1557,27.8,43530.82,8945,32178,2391803.55,1.82,267.39,30621
Июль 2023,Южный ФО,Волгоградская обл.,1491,13.62,28740.06,4315,31683,1149602.3,2.5,266.42,30192
Август 2023,Южный ФО,Волгоградская обл.,1503,17.45,48265.65,5561,31871,1449419.04,3.33,260.64,30368
Сентябрь 2023,Южный ФО,Волгоградская обл.,1495,72.45,200031.22,23733,32758,6579974.25,3.04,277.25,31263
Октябрь 2023,Южный ФО,Волгоградская обл.,1586,74.77,239296.64,24418,32658,7251413.46,3.3,296.97,31072
Ноябрь 2023,Южный ФО,Волгоградская обл.,1656,72.49,175888.92,24129,33286,7268137.38,2.42,301.22,31630
Декабрь 2023,Южный ФО,Волгоградская обл.,1470,44.59,126029.07,14049,31509,3901828.77,3.23,277.73,30039
Январь 2024,Южный ФО,Волгоградская обл.,1564,66.74,179736.16,22919,34342,7306348.01,2.46,318.79,32778
Февраль 2024,Южный ФО,Волгоградская обл.,1728,73.06,163545.9,25679,35149,8096331.91,2.02,315.29,33421
Март 2024,Южный ФО,Волгоградская обл.,1627,66.7,159013.51,23202,34786,7227887.04,2.2,311.52,33159
Апрель 2024,Южный ФО,Волгоградская обл.,1629,66.81,186712.57,23686,35453,7589941.84,2.46,320.44,33824
Май 2024,Южный ФО,Волгоградская обл.,1617,54.48,157830.84,19273,35377,6070416.81,2.6,314.97,33760
Июнь 2024,Южный ФО,Волгоградская обл.,1749,26.86,92302.38,9645,35909,3097395.3,2.98,321.14,34160
Июль 2024,Южный ФО,Волгоградская обл.,1641,12.77,24259.69,4477,35064,1461427.11,1.66,326.43,33423
Август 2024,Южный ФО,Волгоградская обл.,1618,16.26,30348.62,5758,35418,1817282.38,1.67,315.61,33800
Сентябрь 2024,Южный ФО,Волгоградская обл.,1643,75.08,264047.11,26949,35895,8001427.59,3.3,296.91,34252
Октябрь 2024,Южный ФО,Волгоградская обл.,1590,73.53,214235.32,25681,34927,8303694.54,2.58,323.34,33337
Ноябрь 2024,Южный ФО,Волгоградская обл.,1711,70.72,186754.6,24836,35120,7074037.88,2.64,284.83,33409
Декабрь 2024,Южный ФО,Волгоградская обл.,1705,47.12,121018.64,17015,36111,5551313.9,2.18,326.26,34406
Январь 2022,Северо-Кавказский ФО,Ставропольский край,1101,65.75,69938.38,15237,23175,3532241.34,1.98,231.82,22074
Февраль 2022,Северо-Кавказский ФО,Ставропольский край,1080,67.69,97978.79,15255,22537,4032049.05,2.43,264.31,21457
Март 2022,Северо-Кавказский ФО,Ставропольский край,1123,70.81,139995.53,16703,23589,4294341.3,3.26,257.1,22466
Июнь 2023,Северо-Кавказский ФО,Ставропольский край,1209,27.46,36272.32,6902,25138,1919170.12,1.89,278.06,23929
Апрель 2022,Северо-Кавказский ФО,Ставропольский край,1044,70.33,63262.41,15793,22456,3881129.75,1.63,245.75,21412
Май 2022,Северо-Кавказский ФО,Ставропольский край,1141,58.29,52884.84,13782,23644,3456525.6,1.53,250.8,22503
Июнь 2022,Северо-Кавказский ФО,Ставропольский край,1107,26.61,29924.02,6123,23012,1608818.25,1.86,262.75,21905
Июль 2022,Северо-Кавказский ФО,Ставропольский край,1048,13.54,25112.56,3042,22467,760986.72,3.3,250.16,21419
Август 2022,Северо-Кавказский ФО,Ставропольский край,1055,16.83,28382.04,3825,22730,901017.0,3.15,235.56,21675
Сентябрь 2022,Северо-Кавказский ФО,Ставропольский край,1059,70.15,118642.0,15716,22404,3628195.76,3.27,230.86,21345
Октябрь 2022,Северо-Кавказский ФО,Ставропольский край,1100,74.28,133944.51,17420,23453,4363013.2,3.07,250.46,22353
Ноябрь 2022,Северо-Кавказский ФО,Ставропольский край,1096,69.59,119313.41,15627,22456,3861275.43,3.09,247.09,21360
Декабрь 2022,Северо-Кавказский ФО,Ставропольский край,1144,49.04,96265.32,11492,23434,3036761.0,3.17,264.25,22290
Январь 2023,Северо-Кавказский ФО,Ставропольский край,1172,67.2,161926.27,16949,25222,4848091.96,3.34,286.04,24050
Февраль 2023,Северо-Кавказский ФО,Ставропольский край,1193,66.9,157097.09,17169,25664,4527293.61,3.47,263.69,24471
Март 2023,Северо-Кавказский ФО,Ставропольский край,1169,72.22,88974.28,18085,25042,4757982.65,1.87,263.09,23873
Апрель 2023,Северо-Кавказский ФО,Ставропольский край,1157,69.19,78198.27,17362,25094,5045049.96,1.55,290.58,23937
Май 2023,Северо-Кавказский ФО,Ставропольский край,1196,59.59,141863.22,15066,25284,4209591.06,3.37,279.41,24088
Июль 2023,Северо-Кавказский ФО,Ставропольский край,1196,13.61,32219.14,3391,24919,997496.56,3.23,294.16,23723
